,IPOdate,company,companyID,Trading Location,date,count
0,2003-07-10,KARDAN,NL0000113652,Amsterdam,2003-07-01,1
1,2004-05-27,SPYKER CARS,NL0000380830,Amsterdam,2004-05-01,1
2,2004-07-09,LB ICON AB,SE0000476962,Amsterdam,2004-07-01,1
3,2005-05-06,GALAPAGOS,BE0003818359,Amsterdam,2005-05-01,2
4,2005-05-27,TOMTOM,NL0000387058,Amsterdam,2005-05-01,2
5,2005-11-18,TELE ATLAS,NL0000233948,Amsterdam,2005-11-01,2
6,2005-11-22,ENDEMOL,NL0000345692,Amsterdam,2005-11-01,2
7,2005-12-15,EUROCASTLE INVEST.,GB00B01C5N27,Amsterdam,2005-12-01,1
8,2006-04-12,ROYALREESINK,NL0000379303,Amsterdam,2006-04-01,1
9,2006-05-03,KKR,GB00B13BNQ35,Amsterdam,2006-05-01,2
10,2006-05-18,SNS REAAL,NL0000390706,Amsterdam,2006-05-01,2
11,2006-06-26,ONCOMETHYLOME SCNC,BE0003844611,Amsterdam,2006-06-01,1
12,2006-08-01,LBI International AB,SE0000495293,Amsterdam,2006-08-01,2
13,2006-08-08,AP Alternative Assets L.P.,GB00B15Y0C52,Amsterdam,2006-08-01,2
14,2006-09-22,PROLOGIS EURO PROP,LU0100194785,Amsterdam,2006-09-01,1
15,2006-10-04,OCTOPLUS,NL0000345718,Amsterdam,2006-10-01,1
16,2006-11-02,BOUSSARD GAVAUDAN,GG00B1FQG453,Amsterdam,2006-11-01,2
17,2006-11-24,TMC,NL0000290997,Amsterdam,2006-11-01,2
18,2006-12-06,YATRA,JE00B1FBT077,Amsterdam,2006-12-01,3
19,2006-12-08,MW TOPS,GG00B1GGVL67,Amsterdam,2006-12-01,3
20,2006-12-15,VOLTA FINANCE,GG00B1GHHH78,Amsterdam,2006-12-01,3
21,2007-04-19,TETRAGON FIN GROUP,GG00B1RMC548,Amsterdam,2007-04-01,1
22,2007-06-20,AMT HOLDING,NL0000886968,Amsterdam,2007-06-01,5
23,2007-06-22,UNIBAIL-RODAMCO,FR0000124711,Amsterdam,2007-06-01,5
24,2007-06-22,QURIUS,NL0000368140,Amsterdam,2007-06-01,5
25,2007-06-26,SNS REAAL,NL0000390706,Amsterdam,2007-06-01,5
26,2007-06-29,CONVERSUS CAP,GG00B1WR8K11,Amsterdam,2007-06-01,5
27,2007-07-04,CARLYLE CAPITAL,GG00B1VYV826,Amsterdam,2007-07-01,6
28,2007-07-11,AMG,NL0000888691,Amsterdam,2007-07-01,6
29,2007-07-12,LEO CAPITAL GROWTH,KYG545791009,Amsterdam,2007-07-01,6
30,2007-07-17,YATRA,JE00B1FBT077,Amsterdam,2007-07-01,6
31,2007-07-18,NB PRIV EQ PARTN,GG00B1ZBD492,Amsterdam,2007-07-01,6
32,2007-07-19,PEHAC,NL0000293686,Amsterdam,2007-07-01,6
33,2007-09-03,ARCELORMITTAL,LU0307198241,Amsterdam,2007-09-01,2
34,2007-09-18,ACCSYS,GB00B0LMC530,"Amsterdam, Europe",2007-09-01,2
35,2007-10-15,ROY BK OF SCOTLAND,GB0007547838,Amsterdam,2007-10-01,2
36,2007-10-17,YATRA,JE00B1FBT077,Amsterdam,2007-10-01,2
37,2007-11-03,DELTA LLOYD,NL0009294552,Amsterdam,2007-11-01,3
38,2007-11-22,MEI RUSLAND MID FO,NL0006033219,Amsterdam,2007-11-01,3
39,2007-11-28,BINCKBANK,NL0000335578,Amsterdam,2007-11-01,3
40,2007-12-03,OCTOPLUS,NL0000345718,Amsterdam,2007-12-01,4
41,2007-12-06,HARBOURVEST HVGPE,GG00B28XHD63,Amsterdam,2007-12-01,4
42,2007-12-18,PUNCH GRAPHIX,NL0006007247,Amsterdam,2007-12-01,4
43,2007-12-18,NR NORDIC RUSSIA,JE00B1G3KL02,Amsterdam,2007-12-01,4
44,2008-01-23,SATYAM COMPUTER SERVICES-ADR A,,Amsterdam,2008-01-01,1
45,2008-02-06,LIBERTY ACQ,KYG678611156,Amsterdam,2008-02-01,1
46,2008-03-18,BROOKFIELD ASSET M,CA1125851040,Amsterdam,2008-03-01,2
47,2008-03-31,INTEREFF EM AFRICA,NL0006173007,Amsterdam,2008-03-01,2
48,2008-04-22,ROY BK OF SCOTLAND,GB0007547838,Amsterdam,2008-04-01,1
49,2008-07-18,GERMANY1 ACQ,GG00B39QD112,Amsterdam,2008-07-01,1
50,2008-09-12,PORCELEYNE FLES,NL0000378669,Amsterdam,2008-09-01,1
51,2008-10-27,THUNDERBIRD,VGG885761061,Amsterdam,2008-10-01,1
52,2009-05-22,OCTOPLUS,NL0000345718,Amsterdam,2009-05-01,1
53,2009-06-01,TOMTOM,,Amsterdam,2009-06-01,1
54,2009-07-01,TOMTOM,,Amsterdam,2009-07-01,1
55,2009-08-19,ATRIUM EUR REALEST,JE00B3DCF752,Amsterdam,2009-08-01,1
56,2009-10-13,CRYO SAVE GROUP,NL0009272137,Amsterdam,2009-10-01,2
57,2009-10-23,THUNDERBIRD,VGG885761061,Amsterdam,2009-10-01,2
58,2009-12-03,DOCKWISE,BMG2786A2052,Amsterdam,2009-12-01,2
59,2009-12-23,INNOCONCEPTS,NL0000361145,Amsterdam,2009-12-01,2
60,2010-02-02,ACCSYS,GB00B0LMC530,Amsterdam,2010-02-01,2
61,2010-02-23,NR NORDIC RUSSIA,JE00B1G3KL02,Amsterdam,2010-02-01,2
62,2010-03-08,OCTOPLUS,NL0000345718,Amsterdam,2010-03-01,1
63,2010-05-27,PHARMING GROUP,NL0000377018,Amsterdam,2010-05-01,1
64,2010-08-05,LBI INTERNATIONAL,NL0009508720,Amsterdam,2010-08-01,1
65,2010-10-06,AMT HOLDING,NL0000886968,Amsterdam,2010-10-01,1
66,2010-11-29,DOCKWISE,BMG2786A2052,Amsterdam,2010-11-01,1
67,2011-01-26,APERAM,LU0569974404,Amsterdam,2011-01-01,2
68,2011-01-26,APERAM,,"Amsterdam, Paris",2011-01-01,2
69,2011-02-04,ACCSYS,GB00B0LMC530,Amsterdam,2011-02-01,2
70,2011-02-17,NIBC Bank N.V.,,Amsterdam,2011-02-01,2
71,2011-04-04,INTEREFFEKT BRAZIL WARRANTS,,Amsterdam,2011-04-01,2
72,2011-04-13,ABN AMRO Bank N.V.,,Amsterdam,2011-04-01,2
73,2011-05-26,TNT Express,NL0009739424,Amsterdam,2011-05-01,1
74,2012-03-21,Ziggo,NL0006294290,Amsterdam,2012-03-01,1
75,2012-04-26,BTG Pactual,US05890C3034,Amsterdam,2012-04-01,1
76,2012-05-16,Core Laboratories N.V.,NL0000200384,Amsterdam,2012-05-01,1
77,2012-06-12,D.E MASTER BLENDERS 1753 N.V.,NL0010157558,Amsterdam,2012-06-01,1
78,2012-09-24,Sopheon,GB0006932171,Amsterdam,2012-09-01,1
79,2013-01-25,OCI N.V.,NL0010387437,Amsterdam,2013-01-01,1
80,2013-04-03,Gemalto,NL0000400653,Amsterdam,2013-04-01,1
81,2013-10-10,BTG Pactual,"US05890C3034;  US05890C1053, US05890C2044, BMG166341005, BMG166341187",Amsterdam,2013-10-01,1
82,2014-01-31,Altice,LU1014539529,Amsterdam,2014-01-01,1
83,2014-02-20,Novisource,NL0010696704,Amsterdam,2014-02-01,1
84,2014-06-20,Euronext,NL0006294274,"Amsterdam, Brussels, Paris",2014-06-01,2
85,2014-06-27,IMCD N.V.,NL0010801007,Amsterdam,2014-06-01,2
86,2014-07-02,NN Group,NL0010773842,Amsterdam,2014-07-01,1
87,2014-10-13,Pershing Square Holdings Ltd,GG00BPFJTF46,Amsterdam,2014-10-01,2
88,2014-10-27,Probiodrug AG,DE0007921835,Amsterdam,2014-10-01,2
89,2014-11-24,Mota-Engil Africa N.V.,NL0010969408,Amsterdam,2014-11-01,1
90,2015-01-15,Klepierre S.A.,FR0000121964,Amsterdam,2015-01-01,1
91,2015-02-04,Lucas Bols N.V.,NL0010998878,Amsterdam,2015-02-01,2
92,2015-02-06,GrandVision N.V.,NL0010937066,Amsterdam,2015-02-01,2
93,2015-03-27,Refresco Gerber,NL0011214010,Amsterdam,2015-03-01,1
94,2015-07-02,Kiadis Pharma,NL0011323407,"Amsterdam, Brussels",2015-07-01,2
95,2015-07-10,Flow Traders,NL0011279492,Amsterdam,2015-07-01,2
96,2015-08-10,Altice,NL0011333752,Amsterdam,2015-08-01,1
97,2015-10-15,Intertrust,NL0010937058,Amsterdam,2015-10-01,1
98,2015-11-11,Curetis N.V.,NL0011509294,"Amsterdam, Brussels",2015-11-01,3
99,2015-11-18,Warehouses de Pauw,BE0003763779,Amsterdam,2015-11-01,3
100,2015-11-20,ABN AMRO Group,NL0011540547,Amsterdam,2015-11-01,3
101,2016-03-09,Royal Reesink,NL0000379303,Amsterdam,2016-03-01,1
102,2016-05-12,Sif Holding N.V.,NL0011660485,Amsterdam,2016-05-01,4
103,2016-05-24,ForFarmers,NL0011832811,Amsterdam,2016-05-01,4
104,2016-05-27,Philips Lighting,NL0011821392,Amsterdam,2016-05-01,4
105,2016-05-31,Coca-Cola European Partners Plc,GB00BDCPN049,"Amsterdam, London",2016-05-01,4
106,2016-06-10,ASR Nederland,NL0011872643,Amsterdam,2016-06-01,2
107,2016-06-10,Basic-Fit,NL0011872650,Amsterdam,2016-06-01,2
108,2016-09-30,TAKEAWAY.COM N.V.,NL0012015705,Amsterdam,2016-09-01,1
109,2017-03-15,AVANTIUM N.V.,NL0012047823,"Amsterdam, Brussels",2017-03-01,1
110,2017-04-04,VEON LTD,BMG9349W1038,Amsterdam,2017-04-01,1
111,2017-05-12,KONINKLIJKE VOLKERWESSELS N.V.,NL0012294466,Amsterdam,2017-05-01,1
112,2017-07-12,NEPI ROCKCASTLE PLC,IM00BDD7WV31,Amsterdam,2017-07-01,1
113,2017-11-14,REINET INVESTMENTS SCA,LU0383812293,Amsterdam,2017-11-01,1
114,2017-12-29,PPLA PARTICIPATIONS LTD,US69355L1098,Amsterdam,2017-12-01,1
115,2018-02-22,DUTCH STAR COMPANIES ONE NV,NL0012747059,Amsterdam,2018-02-01,1
116,2018-03-22,ALFEN N.V.,NL0012817175,Amsterdam,2018-03-01,3
117,2018-03-23,NIBC HOLDING NV,NL0012756316,Amsterdam,2018-03-01,3
118,2018-03-23,BS GROUP SA,LU1789205884,Amsterdam,2018-03-01,3
